frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
71, 0, 2.336, 0.98, 1, 0.53, 0.00, 0.00, 0.03, 0.60, 1.77, 0.00, 1.65, 1.36, 1.21, 0.85, 0.65, 0.75, 0.00, 1.86, 0.80, 0.02, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00
72, 0, 2.369, 0.98, 1, 0.32, 0.00, 0.00, 0.03, 0.55, 1.65, 0.00, 1.52, 1.40, 1.30, 0.57, 0.62, 0.90, 0.00, 1.67, 0.82, 0.03, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00
73, 0, 2.402, 0.98, 1, 0.11, 0.00, 0.00, 0.00, 0.40, 1.57, 0.00, 1.38, 1.31, 1.28, 0.53, 0.62, 0.95, 0.00, 1.26, 0.84, 0.03, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00
74, 0, 2.436, 0.98, 1, 0.06, 0.00, 0.00, 0.00, 0.24, 1.48, 0.00, 1.01, 1.18, 1.15, 0.47, 0.67, 0.70, 0.00, 0.68, 0.59, 0.01, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00
75, 0, 2.469, 0.98, 1, 0.06, 0.00, 0.00, 0.00, 0.08, 1.58, 0.00, 0.57, 0.93, 0.92, 0.75, 1.03, 0.36, 0.25, 0.23, 0.34, 0.02, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00
76, 0, 2.503, 0.98, 1, 0.13, 0.00, 0.00, 0.00, 0.00, 1.44, 0.00, 0.20, 0.70, 0.65, 0.82, 1.68, 0.00, 0.69, 0.00, 0.05, 0.05, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
77, 0, 2.536, 0.98, 1, 0.14, 0.00, 0.00, 0.00, 0.00, 1.37, 0.00, 0.12, 0.53, 0.56, 1.07, 2.25, 0.00, 1.16, 0.00, 0.00, 0.07, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
78, 0, 2.569, 0.98, 1, 0.14, 0.00, 0.00, 0.00, 0.00, 1.18, 0.00, 0.09, 0.49, 0.57, 1.09, 2.62, 0.00, 1.45, 0.00, 0.00, 0.05, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
79, 0, 2.603, 0.98, 1, 0.07, 0.00, 0.00, 0.00, 0.00, 1.21, 0.00, 0.26, 0.52, 0.68, 1.14, 2.63, 0.00, 1.45, 0.00, 0.00, 0.02, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
80, 0, 2.636, 0.98, 1, 0.03, 0.00, 0.00, 0.00, 0.00, 1.19, 0.00, 0.20, 0.46, 0.60, 0.90, 2.19, 0.00, 1.02, 0.00, 0.50, 0.04, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
81, 0, 2.669, 0.98, 1, 0.07, 0.00, 0.03, 0.00, 0.00, 1.16, 0.00, 0.19, 0.34, 0.53, 0.77, 1.52, 0.07, 0.48, 0.25, 1.03, 0.14, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00
82, 0, 2.703, 0.98, 1, 0.17, 0.00, 0.07, 0.00, 0.00, 1.13, 0.00, 0.06, 0.20, 0.52, 0.80, 0.92, 0.18, 0.04, 0.66, 1.57, 0.26, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
83, 0, 2.736, 0.98, 1, 0.31, 0.00, 0.22, 0.00, 0.00, 1.11, 0.00, 0.12, 0.17, 0.66, 0.94, 0.68, 0.38, 0.00, 0.93, 1.58, 0.33, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
84, 0, 2.769, 0.98, 1, 0.46, 0.00, 0.39, 0.00, 0.00, 1.14, 0.00, 0.17, 0.19, 0.72, 1.04, 0.64, 0.50, 0.00, 1.03, 1.51, 0.33, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
85, 0, 2.803, 0.98, 1, 0.55, 0.00, 0.59, 0.00, 0.00, 0.98, 0.00, 0.24, 0.22, 0.71, 0.97, 0.57, 0.70, 0.00, 0.96, 1.40, 0.26, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
86, 0, 2.836, 0.98, 1, 0.51, 0.00, 0.47, 0.07, 0.00, 1.08, 0.00, 0.32, 0.23, 0.71, 0.91, 0.51, 0.63, 0.00, 1.05, 1.37, 0.24, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
87, 0, 2.870, 0.98, 1, 0.41, 0.00, 0.31, 0.07, 0.00, 1.03, 0.00, 0.40, 0.23, 0.70, 0.62, 0.42, 0.49, 0.00, 1.01, 1.42, 0.23, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
88, 0, 2.903, 0.98, 1, 0.38, 0.00, 0.06, 0.07, 0.00, 1.07, 0.00, 0.43, 0.24, 0.63, 0.36, 0.36, 0.19, 0.00, 0.83, 1.28, 0.22, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
89, 0, 2.936, 0.98, 1, 0.31, 0.00, 0.04, 0.00, 0.00, 0.95, 0.00, 0.45, 0.28, 0.62, 0.28, 0.37, 0.06, 0.00, 0.48, 0.92, 0.19, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00
90, 0, 2.970, 0.98, 1, 0.24, 0.00, 0.00, 0.00, 0.00, 1.04, 0.00, 0.60, 0.26, 0.59, 0.30, 0.38, 0.00, 0.00, 0.17, 0.42, 0.12, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
91, 0, 3.003, 0.98, 1, 0.15, 0.00, 0.00, 0.00, 0.00, 1.04, 0.00, 0.60, 0.21, 0.54, 0.26, 0.46, 0.00, 0.00, 0.00, 0.16, 0.07, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
92, 0, 3.036, 0.98, 1, 0.14, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.64, 0.18, 0.51, 0.09, 0.49, 0.00, 0.00, 0.00, 0.07, 0.05, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
93, 0, 3.070, 0.98, 1, 0.17, 0.00, 0.00, 0.00, 0.00, 0.86, 0.00, 0.58, 0.19, 0.57, 0.15, 0.49, 0.00, 0.00, 0.00, 0.07, 0.04, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
94, 0, 3.103, 0.98, 1, 0.19, 0.00, 0.00, 0.00, 0.00, 0.80, 0.00, 0.62, 0.22, 0.69, 0.27, 0.53, 0.00, 0.00, 0.00, 0.04, 0.04, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
95, 0, 3.136, 0.98, 1, 0.16, 0.00, 0.00, 0.00, 0.00, 0.78, 0.00, 0.67, 0.24, 0.71, 0.37, 0.60, 0.00, 0.00, 0.00, 0.00, 0.02, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
96, 0, 3.170, 0.98, 1, 0.15, 0.00, 0.00, 0.00, 0.00, 0.76, 0.00, 0.66, 0.28, 0.63, 0.34, 0.66, 0.00, 0.00, 0.00, 0.00, 0.05, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
97, 0, 3.203, 0.98, 1, 0.08, 0.00, 0.00, 0.00, 0.00, 0.72, 0.00, 0.63, 0.30, 0.55, 0.32, 0.59, 0.00, 0.02, 0.00, 0.07, 0.09, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
98, 0, 3.237, 0.98, 1, 0.14, 0.00, 0.00, 0.00, 0.00, 0.67, 0.00, 0.58, 0.26, 0.48, 0.22, 0.66, 0.00, 0.02, 0.00, 0.37, 0.13, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
99, 0, 3.270, 0.98, 1, 0.24, 0.00, 0.00, 0.00, 0.00, 0.66, 0.00, 0.56, 0.19, 0.31, 0.10, 0.64, 0.00, 0.02, 0.00, 0.69, 0.18, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
100, 0, 3.303, 0.98, 1, 0.38, 0.00, 0.00, 0.00, 0.00, 0.78, 0.00, 0.49, 0.12, 0.12, 0.00, 0.85, 0.00, 0.00, 0.00, 1.02, 0.22, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00
101, 0, 3.337, 0.98, 1, 0.42, 0.00, 0.00, 0.00, 0.00, 0.90, 0.00, 0.37, 0.08, 0.00, 0.00, 0.91, 0.00, 0.00, 0.00, 1.17, 0.25, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00
102, 0, 3.370, 0.98, 1, 0.29, 0.00, 0.00, 0.00, 0.00, 0.70, 0.00, 0.24, 0.05, 0.00, 0.00, 1.06, 0.00, 0.00, 0.00, 1.32, 0.28, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00
103, 0, 3.403, 0.98, 1, 0.14, 0.00, 0.00, 0.00, 0.00, 0.60, 0.00, 0.24, 0.03, 0.00, 0.00, 1.06, 0.00, 0.00, 0.00, 1.47, 0.30, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
104, 0, 3.437, 0.98, 1, 0.02, 0.00, 0.00, 0.00, 0.00, 0.58, 0.00, 0.23, 0.01, 0.00, 0.00, 1.02, 0.00, 0.00, 0.00, 1.58, 0.32, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00
105, 0, 3.470, 0.98, 1, 0.03, 0.00, 0.00, 0.00, 0.00, 0.87, 0.00, 0.28, 0.02, 0.00, 0.00, 1.07, 0.00, 0.00, 0.00, 1.68, 0.30, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00
106, 0, 3.504, 0.98, 1, 0.03, 0.00, 0.00, 0.00, 0.00, 0.93, 0.00, 0.28, 0.03, 0.00, 0.00, 1.13, 0.00, 0.00, 0.00, 1.67, 0.31, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00
107, 0, 3.537, 0.98, 1, 0.01, 0.00, 0.00, 0.00, 0.00, 0.96, 0.00, 0.36, 0.03, 0.00, 0.00, 1.22, 0.00, 0.00, 0.00, 1.67, 0.29, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00
108, 0, 3.570, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.89, 0.00, 0.39, 0.01, 0.00, 0.00, 1.27, 0.00, 0.00, 0.00, 1.65, 0.24, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00
109, 0, 3.604, 0.98, 1, 0.00, 0.00, 0.06, 0.00, 0.00, 0.89, 0.00, 0.41, 0.00, 0.00, 0.00, 1.20, 0.00, 0.00, 0.00, 1.63, 0.17, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00
110, 0, 3.637, 0.98, 1, 0.00, 0.00, 0.06, 0.00, 0.00, 0.98, 0.00, 0.44, 0.01, 0.00, 0.00, 1.09, 0.00, 0.00, 0.00, 1.58, 0.15, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00
111, 0, 3.670, 0.98, 1, 0.00, 0.00, 0.08, 0.00, 0.00, 1.01, 0.00, 0.47, 0.01, 0.00, 0.00, 1.05, 0.00, 0.00, 0.00, 1.55, 0.15, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00
112, 0, 3.704, 0.98, 1, 0.00, 0.00, 0.02, 0.00, 0.00, 1.01, 0.00, 0.58, 0.01, 0.00, 0.00, 1.02, 0.00, 0.00, 0.00, 1.59, 0.15, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00
113, 0, 3.737, 0.98, 1, 0.00, 0.00, 0.04, 0.00, 0.00, 0.79, 0.00, 0.53, 0.00, 0.00, 0.00, 1.16, 0.00, 0.00, 0.00, 1.64, 0.10, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
114, 0, 3.770, 0.98, 1, 0.00, 0.00, 0.02, 0.00, 0.00, 0.69, 0.00, 0.59, 0.00, 0.00, 0.00, 1.15, 0.00, 0.00, 0.00, 1.65, 0.10, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
115, 0, 3.804, 0.98, 1, 0.00, 0.00, 0.02, 0.00, 0.00, 0.62, 0.05, 0.61, 0.00, 0.00, 0.00, 1.24, 0.00, 0.00, 0.03, 1.68, 0.09, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
116, 0, 3.837, 0.98, 1, 0.00, 0.00, 0.01, 0.00, 0.00, 0.68, 0.10, 0.69, 0.01, 0.00, 0.07, 1.23, 0.00, 0.00, 0.15, 1.65, 0.14, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
117, 0, 3.871, 0.98, 1, 0.00, 0.00, 0.01, 0.00, 0.00, 0.74, 0.12, 0.74, 0.04, 0.00, 0.08, 1.18, 0.00, 0.00, 0.15, 1.50, 0.13, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
118, 0, 3.904, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.81, 0.14, 0.81, 0.09, 0.00, 0.08, 1.06, 0.00, 0.00, 0.17, 1.25, 0.14, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
119, 0, 3.937, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 1.06, 0.13, 0.92, 0.19, 0.05, 0.15, 0.78, 0.00, 0.00, 0.06, 0.97, 0.10, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
120, 0, 3.971, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.11, 1.30, 0.21, 1.07, 0.37, 0.14, 0.20, 0.54, 0.00, 0.00, 0.06, 0.58, 0.07, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
121, 0, 4.004, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.28, 1.43, 0.24, 1.23, 0.62, 0.35, 0.25, 0.23, 0.00, 0.02, 0.18, 0.26, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00
122, 0, 4.037, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.52, 1.39, 0.30, 1.42, 0.91, 0.52, 0.12, 0.12, 0.00, 0.09, 0.42, 0.00, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
123, 0, 4.071, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.71, 1.35, 0.29, 1.60, 1.20, 0.74, 0.05, 0.04, 0.00, 0.14, 0.74, 0.04, 0.01, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
124, 0, 4.104, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.87, 1.32, 0.22, 1.74, 1.42, 0.84, 0.00, 0.06, 0.00, 0.20, 0.90, 0.04, 0.02, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
125, 0, 4.137, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.99, 1.32, 0.16, 1.81, 1.60, 1.01, 0.00, 0.03, 0.01, 0.22, 1.04, 0.04, 0.03, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
126, 0, 4.171, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 1.05, 1.37, 0.12, 1.82, 1.70, 1.07, 0.00, 0.02, 0.08, 0.25, 1.08, 0.00, 0.05, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
127, 0, 4.204, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 1.05, 1.36, 0.11, 1.78, 1.74, 1.17, 0.00, 0.00, 0.08, 0.26, 1.13, 0.00, 0.06, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
128, 0, 4.238, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 1.02, 1.40, 0.10, 1.76, 1.78, 1.14, 0.00, 0.00, 0.08, 0.32, 1.10, 0.00, 0.04, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
129, 0, 4.271, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.97, 1.40, 0.05, 1.70, 1.83, 1.15, 0.00, 0.00, 0.01, 0.34, 1.13, 0.00, 0.03, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
130, 0, 4.304, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.98, 1.52, 0.03, 1.60, 1.88, 1.13, 0.00, 0.00, 0.01, 0.36, 1.22, 0.00, 0.04, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
131, 0, 4.338, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.99, 1.51, 0.00, 1.56, 1.88, 1.14, 0.00, 0.00, 0.00, 0.34, 1.28, 0.00, 0.06, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
132, 0, 4.371, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.98, 1.52, 0.00, 1.56, 1.87, 1.15, 0.00, 0.00, 0.00, 0.39, 1.28, 0.00, 0.05, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
133, 0, 4.404, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.96, 1.49, 0.00, 1.63, 1.90, 1.18, 0.00, 0.00, 0.00, 0.41, 1.31, 0.00, 0.03, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
134, 0, 4.438, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.93, 1.40, 0.00, 1.62, 1.94, 1.17, 0.00, 0.00, 0.00, 0.44, 1.36, 0.00, 0.01, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
135, 0, 4.471, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.93, 1.31, 0.00, 1.59, 1.94, 1.13, 0.00, 0.00, 0.00, 0.41, 1.32, 0.00, 0.01, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
136, 0, 4.505, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.91, 1.30, 0.00, 1.54, 1.92, 0.99, 0.00, 0.00, 0.00, 0.39, 1.20, 0.01, 0.04, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
137, 0, 4.538, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.89, 1.36, 0.00, 1.50, 1.90, 0.97, 0.00, 0.01, 0.00, 0.38, 1.12, 0.06, 0.05, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
138, 0, 4.571, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.86, 1.38, 0.00, 1.50, 1.90, 0.96, 0.00, 0.03, 0.05, 0.35, 1.21, 0.09, 0.09, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
139, 0, 4.605, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.86, 1.47, 0.00, 1.49, 1.92, 1.07, 0.00, 0.04, 0.05, 0.35, 1.24, 0.14, 0.09, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
140, 0, 4.638, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.87, 1.63, 0.00, 1.47, 1.93, 1.08, 0.00, 0.03, 0.05, 0.35, 1.23, 0.25, 0.10, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
141, 0, 4.671, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.89, 1.69, 0.00, 1.42, 2.01, 1.08, 0.00, 0.01, 0.00, 0.37, 1.21, 0.33, 0.09, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
